date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2024-07-02,SPY,0,1,1,0.5394972542346719,0.5765082412421404,0.5985786
2024-07-03,SPY,0,1,1,0.5393803435845869,0.5407289692608439,0.6194371
2024-07-05,SPY,0,0,1,0.5421639866102026,0.5803555819785928,0.8026511
2024-07-08,SPY,0,0,1,0.5389278664616844,0.5276248198896989,0.44620454
2024-07-09,SPY,0,1,1,0.5344171641984229,0.4967827420348756,0.47276682
2024-07-10,SPY,0,0,1,0.5363537603485585,0.578369364140929,0.6847062
2024-07-11,SPY,0,1,1,0.5525406466050428,0.5911235825771756,0.59076595
2024-07-12,SPY,0,0,1,0.5427741461481465,0.5443741168486479,0.49120003
2024-07-15,SPY,0,1,1,0.5392025047084672,0.505451656190357,0.41906497
2024-07-16,SPY,0,0,1,0.5366749167898184,0.560518779088795,0.58270705
2024-07-17,SPY,0,0,1,0.5538529412699682,0.5854895536465652,0.4949162
2024-07-18,SPY,0,0,1,0.5438981543805493,0.5673834057177064,0.52356905
2024-07-19,SPY,0,1,1,0.5477926942748244,0.5835809720467331,0.68813586
2024-07-22,SPY,0,0,1,0.5356639484690321,0.5408845733914474,0.5227639
2024-07-23,SPY,0,0,1,0.5435360894001806,0.4968982765462785,0.43785033
2024-07-24,SPY,0,0,1,0.568574250723487,0.5207646728543129,0.6623843
2024-07-25,SPY,0,1,1,0.5494021336427992,0.6083454123460968,0.6332379
2024-07-26,SPY,0,0,1,0.5430668241005074,0.5796362389636686,0.7372123
2024-07-29,SPY,0,0,1,0.5482626766044946,0.5336782496243287,0.5788497
2024-07-30,SPY,0,1,1,0.5562473081416163,0.5766130817681424,0.68546486
2024-07-31,SPY,0,0,1,0.5512287864499141,0.5171604966658815,0.35872692
2024-08-01,SPY,0,0,1,0.5664240418422967,0.5499413988710949,0.67844796
2024-08-02,SPY,0,1,1,0.5600183108235314,0.4149282465393053,0.4394103
2024-08-05,SPY,1,1,1,0.5675839114668839,0.5414073546384803,0.5700231
2024-08-06,SPY,1,0,1,0.5350831693186889,0.47714631536615615,0.57053804
2024-08-07,SPY,1,1,1,0.539980635159234,0.6109720535412559,0.6771679
2024-08-08,SPY,1,1,1,0.5419021807549043,0.524353943106085,0.52047586
2024-08-09,SPY,1,0,1,0.549066901421576,0.514031116146177,0.49387518
2024-08-12,SPY,1,1,1,0.534431507035096,0.5562040969127495,0.5960099
2024-08-13,SPY,1,1,1,0.5250412397300287,0.5459538190557447,0.60072464
2024-08-14,SPY,1,1,1,0.5266560444190076,0.4678952255374439,0.3598367
2024-08-15,SPY,1,1,1,0.5235525732533157,0.5340480827328349,0.5393636
2024-08-16,SPY,1,1,1,0.5268247916954772,0.5169885486514648,0.57798874
2024-08-19,SPY,1,0,1,0.5123835850979382,0.503310455611878,0.5026465
2024-08-20,SPY,1,1,1,0.5132414767661956,0.48465318690620923,0.38399032
2024-08-21,SPY,1,0,1,0.5178271367571049,0.5124574264958166,0.47923654
2024-08-22,SPY,1,1,1,0.5258860133319987,0.5644555732499238,0.6209301
2024-08-23,SPY,1,0,1,0.5134049465259829,0.5631162001995156,0.65023535
2024-08-26,SPY,1,1,1,0.5173374148461366,0.5166478948493026,0.48316965
2024-08-27,SPY,1,0,1,0.5167819196823102,0.5436336122999434,0.58943236
2024-08-28,SPY,1,0,1,0.5180408143655497,0.49199045299921124,0.40148154
2024-08-29,SPY,1,1,1,0.5177861327750797,0.5467186313045347,0.59482235
2024-08-30,SPY,1,0,1,0.5308629242444937,0.5039863775081878,0.5416767
2024-09-03,SPY,0,1,1,0.5649485121073549,0.48954536386931,0.20721427
2024-09-04,SPY,0,0,1,0.5466413489577957,0.5677031924933928,0.7660899
2024-09-05,SPY,0,0,1,0.5514527927014812,0.5477114079212221,0.48482394
2024-09-06,SPY,0,1,1,0.5683750147958619,0.5070877231890992,0.65846
2024-09-09,SPY,0,1,1,0.542481428563781,0.6101430892217402,0.6931906
2024-09-10,SPY,0,1,1,0.5476636638962558,0.5417129362312157,0.5092932
2024-09-11,SPY,0,1,1,0.5668704432347366,0.5822290135671,0.4865688
2024-09-12,SPY,0,1,1,0.5573843439819826,0.5758755368763456,0.60300344
2024-09-13,SPY,0,1,1,0.5364181537777449,0.5172673466201495,0.53099054
2024-09-16,SPY,0,0,1,0.5332584822488323,0.48863801204667096,0.547986
2024-09-17,SPY,0,0,1,0.5340822600853686,0.486673261481653,0.50182337
2024-09-18,SPY,0,0,1,0.5376845710675341,0.5438576089764079,0.607607
2024-09-19,SPY,0,1,1,0.5379262515970826,0.5531253917041703,0.42075157
2024-09-20,SPY,0,1,1,0.5511552389918069,0.557502208437525,0.5326576
2024-09-23,SPY,0,1,1,0.5291247051012555,0.4858371352616571,0.45108104
2024-09-24,SPY,0,0,1,0.5294651736756627,0.5337015156736977,0.46380067
2024-09-25,SPY,0,0,1,0.5241172046366629,0.5253318898174887,0.4715298
2024-09-26,SPY,0,0,1,0.5232767915355091,0.5299302259218107,0.5074108
2024-09-27,SPY,0,1,1,0.5229574095319114,0.6029202073002604,0.60390365
2024-09-30,SPY,0,0,1,0.5285806107547062,0.5845515317905065,0.6270419
2024-10-01,SPY,0,1,1,0.5484241227177017,0.5683773628270378,0.6041969
2024-10-02,SPY,0,1,1,0.5266019300108241,0.5474949088458585,0.6796608
